event_id,soft_id,soft_peak,class_solexs,class_goes,soft_peak_counts,soft_sig,hard_id,hard_peak,hard_peak_counts,hard_sig,coincidence,neupert_lead_s,nonthermal_peak_counts,hardness_ratio,confidence
EVT-0063,SLX-0063,2024-09-15 17:42:34,C1.8,C2.0,65.0,6.153744504654986,HLS-0168,2024-09-15 17:41:40,35.0,11.839200423452029,True,,9.0,0.2,DUAL-CONFIRMED
EVT-0064,SLX-0064,2024-09-15 21:35:20,C4.0,C3.9,170.0,27.119131120433643,HLS-0170,2024-09-15 21:41:10,177.0,59.750523010263265,True,,12.0,0.09090909090909091,DUAL-CONFIRMED
EVT-0065,SLX-0065,2024-09-15 23:32:33,C4.8,C4.9,212.0,22.32568028078876,HLS-0171,2024-09-15 23:32:00,124.0,38.333333333333336,True,,6.0,0.0,DUAL-CONFIRMED
EVT-0066,SLX-0066,2024-09-16 01:25:00,C6.5,C6.0,300.0,39.7673248658258,HLS-0174,2024-09-16 01:24:20,540.0,201.4550641139181,True,,7.0,0.019230769230769232,DUAL-CONFIRMED
EVT-0067,SLX-0067,2024-09-16 01:45:56,C4.4,C4.2,189.0,8.428534986591798,HLS-0175,2024-09-16 01:44:20,195.0,41.71930009000631,True,,6.0,0.0,DUAL-CONFIRMED
EVT-0068,SLX-0068,2024-09-16 03:32:01,C2.2,C2.4,84.0,7.132564859956163,HLS-0176,2024-09-16 03:31:40,32.0,10.61445555206044,True,,8.0,0.46153846153846156,DUAL-CONFIRMED
EVT-0069,SLX-0069,2024-09-16 06:09:18,C2.2,C2.6,85.0,5.299233090271577,HLS-0178,2024-09-16 06:02:20,35.0,11.839200423452029,True,,7.0,0.5,DUAL-CONFIRMED
EVT-0070,SLX-0070,2024-09-16 13:49:36,C5.8,C5.0,262.0,29.14059960698382,,,,,False,,7.0,0.0449438202247191,SOFT-ONLY
EVT-0071,SLX-0071,2024-09-17 00:01:20,M1.0,C9.2,526.0,49.162166356081634,HLS-0184,2024-09-16 23:51:20,516.0,119.4657751348537,True,,11.0,0.0,DUAL-CONFIRMED
EVT-0072,SLX-0072,2024-09-17 06:41:15,C4.7,C4.3,209.0,36.11995139654661,HLS-0185,2024-09-17 06:33:40,235.0,71.15124735378853,True,,9.0,0.0625,DUAL-CONFIRMED
EVT-0073,SLX-0073,2024-09-17 12:32:28,C4.3,C3.8,187.0,30.06766073744717,HLS-0187,2024-09-17 12:29:40,94.0,21.38089935299395,True,,11.0,0.06818181818181818,DUAL-CONFIRMED
EVT-0074,SLX-0074,2024-09-17 19:09:08,C3.2,C3.2,132.0,17.765428077662772,HLS-0188,2024-09-17 19:05:40,153.0,40.70319397786862,True,,9.0,0.10256410256410256,DUAL-CONFIRMED
EVT-0075,SLX-0075,2024-09-18 03:44:13,C4.4,C4.1,190.0,33.406867040057776,HLS-0189,2024-09-18 03:38:10,195.0,62.0,True,,9.0,0.10526315789473684,DUAL-CONFIRMED
EVT-0076,SLX-0076,2024-09-18 13:14:12,C3.1,C3.0,129.0,7.293462097795579,,,,,False,,,0.0,SOFT-ONLY
EVT-0077,SLX-0077,2024-09-18 16:04:55,C2.1,C2.2,79.0,8.213333333333333,,,,,False,,,0.0,SOFT-ONLY
EVT-0078,SLX-0078,2024-09-18 16:44:21,C3.0,C3.0,121.0,11.785113019775793,,,,,False,,,0.0,SOFT-ONLY
EVT-0079,SLX-0079,2024-09-19 08:04:47,C2.2,C2.4,85.0,5.348447053667623,HLS-0194,2024-09-19 08:04:00,69.0,25.719642299223374,True,,7.0,0.3333333333333333,DUAL-CONFIRMED
EVT-0080,SLX-0080,2024-09-19 15:28:38,C2.7,C2.5,108.0,14.26965864674894,HLS-0196,2024-09-19 15:21:10,79.0,29.802125203862,True,,9.0,0.4,DUAL-CONFIRMED
EVT-0081,SLX-0081,2024-09-19 18:43:22,C2.1,C2.1,78.0,9.34676414594912,HLS-0197,2024-09-19 18:41:30,37.0,12.655697004379755,True,,7.0,0.14285714285714285,DUAL-CONFIRMED
EVT-0082,SLX-0082,2024-09-19 20:23:39,C1.7,C2.0,63.0,5.873042787086381,,,,,False,,8.0,3.0,SOFT-ONLY
EVT-0083,SLX-0083,2024-09-19 21:52:33,C2.4,C2.3,94.0,15.180438540625705,HLS-0198,2024-09-19 21:50:40,74.0,30.857738089497097,True,,6.0,0.2222222222222222,DUAL-CONFIRMED
EVT-0084,SLX-0084,2024-09-19 22:06:24,C1.9,C2.2,72.0,7.930587760199254,HLS-0199,2024-09-19 22:03:10,110.0,40.5960399736041,True,,9.0,0.5,DUAL-CONFIRMED
EVT-0085,SLX-0085,2024-09-20 14:57:19,C4.6,C4.0,202.0,41.90656273186815,HLS-0202,2024-09-20 14:56:10,216.0,94.36206865049112,True,,8.0,0.05357142857142857,DUAL-CONFIRMED
EVT-0086,SLX-0086,2024-09-20 21:53:46,C1.5,C1.7,52.0,5.109417167432082,HLS-0204,2024-09-20 21:48:40,19.0,6.260990336999411,True,,9.0,0.3333333333333333,DUAL-CONFIRMED
EVT-0087,SLX-0087,2024-09-21 07:19:20,C2.0,C2.0,75.0,8.641325975791158,HLS-0207,2024-09-21 07:13:00,65.0,26.832815729997474,True,,8.0,0.4,DUAL-CONFIRMED
EVT-0088,SLX-0088,2024-09-21 13:41:58,C1.5,C1.6,52.0,6.35,HLS-0208,2024-09-21 13:40:00,46.0,18.335757415498275,True,,8.0,0.2857142857142857,DUAL-CONFIRMED
EVT-0089,SLX-0089,2024-09-21 20:46:02,C4.7,C4.5,204.0,33.94614660849178,HLS-0209,2024-09-21 20:45:50,430.0,213.0,True,,7.0,0.015151515151515152,DUAL-CONFIRMED
EVT-0090,SLX-0090,2024-09-22 08:54:31,C3.6,—,150.0,9.106192809003522,HLS-0214,2024-09-22 08:52:10,50.0,11.758942438532781,True,,5.0,0.0,DUAL-CONFIRMED
EVT-0091,SLX-0091,2024-09-22 13:26:45,C4.1,C3.7,176.0,24.186666666666667,,,,,False,,,0.0,SOFT-ONLY
EVT-0092,SLX-0092,2024-09-22 15:58:36,C1.8,C2.0,66.0,5.0,,,,,False,,,0.0,SOFT-ONLY
EVT-0093,SLX-0093,2024-09-22 21:38:41,M4.0,M3.7,2564.0,299.2004493460678,,,,,False,,,0.0,SOFT-ONLY
EVT-0094,SLX-0094,2024-09-23 05:53:05,C2.1,C2.3,81.0,7.640000000000001,HLS-0220,2024-09-23 05:48:10,30.0,10.73312629199899,True,,8.0,1.3333333333333333,DUAL-CONFIRMED
EVT-0095,SLX-0095,2024-09-23 10:06:24,C5.1,C4.5,227.0,41.46307030153952,HLS-0221,2024-09-23 10:05:00,194.0,84.52336954949205,True,,9.0,0.041666666666666664,DUAL-CONFIRMED
EVT-0096,SLX-0096,2024-09-23 13:58:23,C2.1,C2.2,79.0,5.220805067760675,HLS-0223,2024-09-23 13:58:50,19.0,5.30722777603022,True,,8.0,1.6,DUAL-CONFIRMED
EVT-0097,SLX-0097,2024-09-23 14:56:34,M1.5,M1.3,817.0,44.06475623106001,,,,,False,,7.0,0.0,SOFT-ONLY
EVT-0098,SLX-0098,2024-09-23 17:16:54,C2.9,C3.3,118.0,5.621394788224659,HLS-0225,2024-09-23 17:12:50,108.0,46.06300033649566,True,,8.0,0.2857142857142857,DUAL-CONFIRMED
EVT-0099,SLX-0099,2024-09-25 04:58:17,C2.6,C2.9,102.0,6.345637171404548,HLS-0232,2024-09-25 04:56:20,35.0,10.61445555206044,True,,6.0,0.4,DUAL-CONFIRMED
EVT-0100,SLX-0100,2024-09-25 08:00:32,C3.9,C4.2,165.0,12.084705158398862,,,,,False,,8.0,0.0,SOFT-ONLY
EVT-0101,SLX-0101,2024-09-25 10:23:54,C3.4,C3.7,142.0,6.451447625966457,,,,,False,,6.0,0.0,SOFT-ONLY
EVT-0102,SLX-0102,2024-09-25 15:32:27,C9.6,C9.1,476.0,19.706889188339225,,,,,False,,5.0,0.0,SOFT-ONLY
EVT-0103,SLX-0103,2024-09-25 20:40:40,C4.2,C4.4,179.0,9.675,HLS-0242,2024-09-25 20:31:10,147.0,43.3232039443068,True,,6.0,0.058823529411764705,DUAL-CONFIRMED
EVT-0104,SLX-0104,2024-09-25 23:11:24,M1.4,M1.3,745.0,108.5,HLS-0243,2024-09-25 23:10:00,571.0,230.66028411208262,True,,7.0,0.012048192771084338,DUAL-CONFIRMED
EVT-0105,SLX-0105,2024-09-26 05:31:00,C2.3,C2.5,90.0,5.88077139686812,HLS-0246,2024-09-26 05:29:20,60.0,24.596747752497684,True,,11.0,0.1111111111111111,DUAL-CONFIRMED
EVT-0106,SLX-0106,2024-09-26 06:12:13,C2.5,C2.9,99.0,9.626844188635134,HLS-0247,2024-09-26 06:09:50,211.0,92.12600067299132,True,,9.0,0.1,DUAL-CONFIRMED
EVT-0107,SLX-0107,2024-09-26 07:12:37,C2.7,C3.0,109.0,8.000793611429955,HLS-0249,2024-09-26 07:10:20,80.0,25.45584412271571,True,,7.0,0.18181818181818182,DUAL-CONFIRMED
EVT-0108,SLX-0108,2024-09-26 11:31:07,C4.1,C3.9,178.0,10.525617130810216,HLS-0250,2024-09-26 11:28:50,120.0,42.70998545004267,True,,7.0,0.05263157894736842,DUAL-CONFIRMED
EVT-0109,SLX-0109,2024-09-26 12:12:47,C5.4,C5.1,244.0,12.352138057506489,HLS-0251,2024-09-26 12:06:10,67.0,22.677868380553633,True,,5.0,0.0,DUAL-CONFIRMED
EVT-0110,SLX-0110,2024-09-26 15:44:03,C3.4,C3.7,140.0,7.785296876653267,HLS-0254,2024-09-26 15:35:10,27.0,9.838699100999074,True,,7.0,0.1111111111111111,DUAL-CONFIRMED
EVT-0111,SLX-0111,2024-09-26 19:49:31,C5.0,C4.8,223.0,20.39295956942003,HLS-0256,2024-09-26 19:48:10,74.0,30.857738089497097,True,,7.0,0.09090909090909091,DUAL-CONFIRMED
EVT-0112,SLX-0112,2024-09-26 20:38:40,C9.5,C6.3,472.0,52.79868211739128,HLS-0257,2024-09-26 20:38:00,738.0,327.8075655014691,True,,9.0,0.0016806722689075631,DUAL-CONFIRMED
EVT-0113,SLX-0113,2024-09-26 23:11:44,M1.9,M1.4,1033.0,93.73185778603327,HLS-0260,2024-09-26 23:09:20,1533.0,421.57214913117417,True,,6.0,0.004484304932735426,DUAL-CONFIRMED
EVT-0114,SLX-0114,2024-09-27 00:06:50,C4.0,C4.4,173.0,6.520331684410331,HLS-0261,2024-09-26 23:58:50,35.0,11.839200423452029,True,,9.0,0.0,DUAL-CONFIRMED
EVT-0115,SLX-0115,2024-09-27 00:50:34,C4.7,C4.6,207.0,9.196952300840296,,,,,False,,,0.0,SOFT-ONLY
EVT-0116,SLX-0116,2024-09-27 01:33:07,C5.5,C5.3,248.0,12.640053297689098,,,,,False,,,0.0,SOFT-ONLY
EVT-0117,SLX-0117,2024-09-27 03:09:33,C6.9,C6.6,323.0,15.296969696969697,,,,,False,,,0.0,SOFT-ONLY
EVT-0118,SLX-0118,2024-09-27 06:09:11,C3.0,C3.4,120.0,5.336110388107996,,,,,False,,,0.0,SOFT-ONLY
EVT-0119,SLX-0119,2024-09-27 08:00:47,M1.1,C9.8,566.0,48.58230359114543,,,,,False,,,0.0,SOFT-ONLY
EVT-0120,SLX-0120,2024-09-27 10:27:50,C9.0,C8.4,444.0,21.38697924499984,,,,,False,,,0.0,SOFT-ONLY
EVT-0121,SLX-0121,2024-09-27 13:13:23,C3.3,C3.6,136.0,5.135823312447683,HLS-0262,2024-09-27 13:13:10,71.0,26.5361388801511,True,,8.0,0.08823529411764706,DUAL-CONFIRMED
EVT-0122,SLX-0122,2024-09-27 14:56:58,C6.6,C6.1,307.0,14.348947687604204,,,,,False,,6.0,0.0,SOFT-ONLY
EVT-0123,SLX-0123,2024-09-27 18:47:08,C3.0,C3.3,123.0,8.110655169141841,HLS-0265,2024-09-27 18:42:20,44.0,18.62047857124575,True,,6.0,1.5,DUAL-CONFIRMED
EVT-0124,SLX-0124,2024-09-28 00:23:21,C3.0,C3.4,124.0,9.80771224660446,HLS-0268,2024-09-28 00:22:10,91.0,38.46036921299638,True,,9.0,0.0,DUAL-CONFIRMED
EVT-0125,SLX-0125,2024-09-28 03:49:09,C2.9,C3.1,118.0,7.316675295087063,HLS-0271,2024-09-28 03:49:00,53.0,24.5,True,,8.0,0.01818181818181818,DUAL-CONFIRMED
EVT-0126,SLX-0126,2024-09-28 06:10:47,C3.9,C3.4,166.0,16.766666666666666,HLS-0274,2024-09-28 06:07:40,174.0,75.57909763949289,True,,9.0,0.03529411764705882,DUAL-CONFIRMED
EVT-0127,SLX-0127,2024-09-28 08:08:59,C3.5,C3.7,145.0,12.392785635298832,HLS-0277,2024-09-28 08:08:40,126.0,54.11284505549491,True,,8.0,0.09803921568627451,DUAL-CONFIRMED
EVT-0128,SLX-0128,2024-09-28 09:29:53,C2.1,—,82.0,5.682319787721793,HLS-0278,2024-09-28 09:29:20,52.0,21.01903898849802,True,,10.0,0.07692307692307693,DUAL-CONFIRMED
EVT-0129,SLX-0129,2024-09-28 10:42:40,C2.6,C2.8,102.0,6.192361855168459,HLS-0280,2024-09-28 10:36:40,21.0,6.260990336999411,True,,6.0,0.0,DUAL-CONFIRMED
