time,sharp_usflux_max,sharp_usflux_sum,sharp_totusjh_max,sharp_totusjh_sum,sharp_totpot_max,sharp_totpot_sum,sharp_meanpot_max,sharp_meanpot_sum,sharp_savncpp_max,sharp_savncpp_sum,sharp_meanshr_max,sharp_meanshr_sum,sharp_shrgt45_max,sharp_shrgt45_sum,sharp_r_value_max,sharp_r_value_sum,sharp_area_acr_max,sharp_area_acr_sum,sharp_n_ar
2024-06-12 05:59:23,4.014106e+22,1.053313705e+23,3141.589,7005.52,4.561569e+23,1.0888421219999999e+24,8453.726,48480.248999999996,10602700000000.0,30167170370000.0,38.416,379.728,32.321,129.645,4.7,21.656,3715.64209,6001.850218,7
2024-06-12 11:59:23,4.412565e+22,1.1555978736e+23,3296.157,7491.292,4.560827e+23,1.2050754821e+24,10322.83,48947.6339,11264690000000.0,32001386105000.0,37.45,438.064,33.054,149.372,4.237,24.29,3857.486084,6325.870575999999,7
2024-06-12 17:59:23,4.195991e+22,1.2576976360000002e+23,3399.194,8087.581,4.374299e+23,1.2916733525e+24,9668.032,48277.949,15350230000000.0,37147811040000.0,38.543,440.341,34.513,152.048,4.429,25.962,3826.821533,6525.13764,7
2024-06-12 23:59:23,3.911439e+22,1.259691353e+23,3208.885,7994.451,4.146394e+23,1.3075983224e+24,9289.643,49737.215,9284553000000.0,28956235297000.0,37.528,456.019,34.494,162.068,4.49,25.517000000000003,3531.463867,6373.192445,7
2024-06-13 05:59:23,3.293253e+22,1.182954615e+23,2581.216,7879.0869999999995,3.825423e+23,1.3288418102e+24,9849.522,53983.495,10105550000000.0,34669575876200.0,37.52,433.41700000000003,34.249,155.71300000000002,4.559,25.209,3539.354004,6550.630461,7
2024-06-13 11:59:23,3.920084e+22,1.237591918e+23,2816.102,8316.877999999999,4.544782e+23,1.4135449839e+24,10726.1,51438.923,11332040000000.0,38829207450000.0,42.203,419.581,41.401,182.779,4.569,24.948999999999998,3690.387451,6888.185492,8
2024-06-13 17:59:23,3.856727e+22,1.314324138e+23,2922.919,9034.689,5.562932e+23,1.5758603804e+24,10604.59,56144.294,21783700000000.0,53604011900000.0,42.421,446.747,40.99,194.75,4.772,28.246,3629.571045,7050.879274,8
2024-06-13 23:59:23,4.181849e+22,1.32270587e+23,3077.231,9284.699,6.635277e+23,1.7320698772e+24,12142.8,61591.578,8630839000000.0,33472474920000.0,43.93,454.793,44.106,221.6,4.882,26.081,3333.182373,6819.9178360000005,8
2024-06-14 05:59:23,3.700234e+22,1.221693961e+23,2928.835,9054.766,8.125288e+23,1.8358645914e+24,14899.99,71219.983,18068940000000.0,45619661320000.0,50.396,474.271,57.326,234.51500000000001,4.947,30.378999999999998,3243.400635,6857.86119,8
2024-06-14 11:59:23,4.484234e+22,1.3032824367e+23,3306.302,9915.731,9.784322e+23,1.99201774557e+24,17270.19,71805.7463,15457750000000.0,44977945290000.0,50.242,526.237,56.922,278.117,5.007,29.871,3290.841064,7104.516386,8
2024-06-14 17:59:23,4.700365e+22,1.34604080624e+23,3663.841,10340.536,1.06053e+24,2.020189823676e+24,16549.54,61211.719300000004,24643310000000.0,59661767537600.0,48.051,509.01300000000003,51.709,214.336,5.044,30.639,3143.862549,7203.07377,8
2024-06-14 23:59:23,5.075931e+22,1.3802539374e+23,3419.233,10357.197,1.121985e+24,2.0961926094e+24,17478.49,61248.723000000005,18581040000000.0,41094452880000.0,50.194,488.418,55.741,219.457,4.988,23.757,2783.364014,6723.499443,7
